,len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
1,66,5,0,0,33,4,13,2,4,0,9,6,10,7,0,11,1,0,9,1,4,0,45,3,260,187553,http://taylortea.com/wp-content/plugins/akismet/cehe/details.php?LOB=R...,1
2,56,9,1,0,17,3,26,6,3,0,6,3.5,7,4.333333333,0,13,4,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.isrel.usa.cc/account/app/svc/login.html...,1
3,19,1,0,0,1,0,18,2,0,0,15,8.5,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://resumeresources.ca/,0
5,50,7,1,2,1,0,46,5,0,0,20,8.4,0,0,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://notification-account.com.smk-diponegoro.sch.id/...,1
6,66,5,0,0,45,3,18,3,3,0,11,5.333333333,32,13.66666667,0,3,3,0,0,0,0,0,102,6,184,-1,http://www.roadrunners.pl/media/auth/df8207c6ca6b56bf1722993f66864b08/...,1
7,58,5,0,0,33,4,14,2,4,0,11,6.5,8,7,0,11,4,0,0,0,0,0,-1,11,-1,110059,http://customprint.in/catalog/language/spanish/module/sign.htm...,1
8,25,2,0,0,5,1,20,3,1,0,12,6,3,3,0,0,0,0,0,0,0,0,210,18,570,-1,http://www.numbertheory.org/ntw/,0
9,60,6,0,0,34,4,14,3,4,0,6,4,12,7.25,0,12,4,0,0,0,0,0,160,8,891,85201,http://www.dlcomp.com/images/Fine/DpBoxtbtrich/dropbox/index.php...,1
10,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,143,13,11,-1,http://www.balicrafters.com/,0
12,66,6,1,0,28,3,25,4,3,0,14,5.5,10,8,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,1
13,66,5,1,0,14,2,18,2,2,0,14,8.5,6,5.5,0,9,1,0,25,1,22,2,2,10,67,-1,http://integratedhost.com/update/gmail/login.php?l=_JeHFUq_VJOXK0QWHto...,1
14,50,7,1,0,5,1,32,4,1,0,21,7.25,3,3,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://www.rockdaledrivingschool.com.au/BOA/Signin.htm...,1
15,37,3,0,0,12,2,15,3,2,0,7,4.333333333,5,4.5,0,10,1,0,0,0,0,0,257,7,118,631,http://www.ametsoc.org/pubs/books/index.html,0
16,25,1,0,0,15,1,10,2,1,0,6,4.5,13,13,0,0,0,0,0,0,0,0,21,3,229,274300,http://hymesh.net/listfinancial/,1
17,66,7,0,1,20,3,14,2,3,0,10,6.5,8,5.333333333,0,15,2,0,17,1,9,0,41,7,151,64202,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
18,17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,200,4,236,76777731,http://bmwusfactory.com/,0
19,66,4,0,0,48,6,12,2,6,0,8,5.5,17,6.833333333,0,6,3,0,0,0,0,0,20,4,619,-1,http://gosgmart.com/image/catalog/demo/product/-/direction-general/red...,1
20,16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,197,7,122,-1,http://www.xbridge.com/,0
21,65,4,0,0,14,2,16,2,2,0,12,7.5,7,5.5,0,35,3,0,0,0,0,0,117,3,253,423731,http://adviseproltd.com/Include/gdoc/a4d8dc05d67daa5ab800cf95b711d0cb...,1
22,66,4,0,1,42,3,19,2,3,0,16,9,18,12.66666667,0,5,3,0,0,0,0,0,2,-1,75,-1,http://agricole-service.fr/particuliers/security/g2e36g_information/up...,1
23,23,3,0,1,1,0,22,4,0,0,12,4.75,0,0,0,0,0,0,0,0,0,0,169,11,414,-1,http://www.picture-disc.co.uk/,0
24,24,1,0,0,4,1,20,2,1,0,16,9.5,2,2,0,0,0,0,0,0,0,0,6,6,168,-1,http://cutsnakecatering.com/oh/,1
25,66,7,0,0,4,1,40,5,1,0,13,7.2,2,2,0,22,3,0,0,0,0,0,20,4,196,92692,http://bmorrison.hickoryground.com.inews.report/ni/e4bea1e585910da8f8f...,1
27,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,227,13,24,-1,http://www.puddinhill.com/,0
29,25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,216,12,46,-1,http://www.bimbobakeriesusa.com/,0
30,66,6,1,0,24,2,28,3,2,0,20,8.666666667,12,10.5,0,14,4,0,0,0,0,0,7,5,212,98083,http://www.mamaefotografaexpert.com/~fezna329/seguroautoBB/login.do256...,1
31,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,199,53,269,-1,http://www.bluedogzdesign.com/,0
33,66,6,0,0,8,2,23,4,2,0,12,5,3,2.5,0,35,3,0,0,0,0,0,-1,-1,-1,-1,http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...,1
34,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,166,2,700,-1,http://www.physicspost.com/,0
35,66,5,0,0,38,5,21,3,5,0,14,6.333333333,10,6.4,0,7,3,0,0,0,0,0,-1,-1,-1,-1,http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/norm...,1
36,33,2,0,0,14,2,19,3,2,0,12,5.666666667,9,5.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://smp2wonosari.sch.id/elearning/ch/,1
37,63,5,0,0,9,1,19,3,1,0,11,5.666666667,7,7,0,35,3,0,0,0,0,0,7,5,154,110035,http://web.kiaanevents.com/pagedoc/fea2120b4a8d260c09aefc63bf36941d...,1
38,31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,26,10,88,94043,https://www.googlemerchandisestore.com/,0
39,33,2,0,0,10,1,10,2,1,0,6,4.5,8,8,0,13,1,0,0,0,0,0,228,96,423,77388,http://koausa.org/Proverbs/proverbs.html,0
40,27,5,0,0,1,0,26,6,0,0,6,3.5,0,0,0,0,0,0,0,0,0,0,226,14,8,85016,http://hiroba.dqx.jp.zicrl.usa.cc/,1
41,63,5,0,0,9,1,19,3,1,0,11,5.666666667,7,7,0,35,3,0,0,0,0,0,7,5,154,110035,http://web.kiaanevents.com/pagedoc/f69c6e98fb234fcaa7a139de2d3e9352...,1
42,20,2,0,0,7,1,13,3,1,0,5,3.666666667,5,5,0,0,0,0,0,0,0,0,209,7,3153,-1,http://www.syvum.com/kmsl1/,0
43,15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,235,5,643,-1,http://www.ouidad.com/,0
44,39,2,0,0,21,2,18,3,2,0,8,5.333333333,11,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://plato.stanford.edu/entries/sovereignty/,0
45,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,211,17,998,-1,http://www.farleaves.com/,0
46,64,5,0,2,34,5,23,3,5,0,13,7,9,5.6,0,7,3,0,0,0,0,0,-1,-1,-1,10555,http://paypal.com-country-x.de/webapps/552199771/id/obj/proceed/form...,1
47,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,107,64,1283,-1,http://www.mathisfunforum.com/,0
48,46,6,0,1,14,2,20,2,2,0,16,9.5,6,5.5,0,12,4,0,0,0,0,0,73,11,29,0,http://spacebuilders-lb.com/baddo/G.Docs/index.php...,1
49,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,166,2,283,-1,http://www.netmedicos.com/,0
50,66,4,0,0,11,2,21,2,2,0,11,10,4,4,0,34,3,0,0,0,0,0,30,6,383,39,http://bookkeepers.directory/mama/mama/0af42c585cba168c6ca0b08403443d2...,1
51,22,2,0,0,5,1,8,2,1,0,5,3.5,3,3,0,9,1,0,0,0,0,0,12,12,1024,-1,http://anwia.pl/aol/index.htm,1
53,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,199,5,1713,-1,http://www.domyresume.com/,0
54,46,5,0,0,16,2,27,3,2,0,20,8.333333333,7,6.5,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://evangelistaadvogados.com.br/newdrop/deiswe/...,1
55,40,3,0,0,1,0,21,3,0,0,14,6.333333333,0,0,0,18,1,0,0,0,0,0,-1,-1,-1,76135,http://www.softwareburner.de/softwareburner.htm,0
56,46,5,0,0,30,4,13,3,4,0,7,3.666666667,14,6.25,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/wdd/date/...,1
57,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,206,46,28,-1,http://www.fftw.org/,0
58,31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,186,54,1652,462003,http://www.whispersinthecorridors.com/,0
60,27,2,0,0,14,2,13,3,2,0,5,3.666666667,7,5.5,0,0,0,0,0,0,0,0,9,3,4,19462,http://ns4.pvtns.com/nama/dropbox/,1
61,18,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,2,0,0,0,0,0,0,70,41,318,-1,http://www.gyrogeo.com/n4,1
62,16,1,0,0,1,0,15,2,0,0,11,7,0,0,0,0,0,0,0,0,0,0,168,12,63,-1,http://killerbeans.com/,0
63,47,7,0,0,18,2,15,4,2,0,5,3,9,7.5,0,14,4,0,0,0,0,0,-1,-1,-1,-1,http://www.mitek.co.zw/libraries/course/mycours.htm...,1
64,27,3,0,0,1,0,26,4,0,0,16,5.75,0,0,0,0,0,0,0,0,0,0,184,8,485,-1,http://www.bobbymooreonline.co.uk/,0
65,66,7,0,0,18,2,12,3,2,0,5,3.333333333,10,7.5,0,9,1,0,27,1,21,0,-1,5,-1,682019,http://cmfri.org.in/invitation/excel/excel.php?rand=13inboxlightaspxn....,1
66,23,3,0,0,1,0,22,4,0,0,11,4.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.yarracoffee.com.au/,0
67,23,3,0,0,12,3,11,4,3,1,3,2,4,2.666666667,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://46.4.34.205/velo/tmp/v/,1
68,45,5,0,0,11,2,22,2,2,0,18,10.5,6,4,0,12,4,0,0,0,0,0,235,17,624,-1,http://nooterconstruction.com/cr/Gdoccc/index.php...,1
69,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,240,108,269,-1,http://www.cariboucoffee.com/,0
70,33,1,0,0,9,2,20,2,2,0,17,9.5,4,3,0,4,0,0,0,0,0,0,-1,-1,-1,-1,http://swarnajayanthiosa.lk/kl/dpbx/dpbx,1
72,20,3,0,0,1,0,19,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,-1,-1,269,-1,http://www.whiterose.co.th/,0
73,29,3,0,0,8,2,12,3,2,0,5,3.333333333,3,2.5,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://mytpu.com.au/js/lib/gkmjg.php,1
74,46,2,0,1,12,3,13,2,3,0,9,6,5,2.666666667,0,21,1,0,0,0,0,0,151,5,206,-1,http://e-drexler.com/p/idx04/00/0404drexlerBioCV.html,0
75,14,2,0,0,1,0,13,3,0,0,6,3.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,82234,http://pivnet.dlr.de/,0
77,66,5,1,0,36,4,21,2,4,0,17,10,10,7.75,0,9,4,0,0,0,0,0,15,9,381,78108,http://savingfaithchurch.org/wp-content/plugins/update/products/index....,1
79,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,4,8,116,0,http://www.icloudbrasil.com/,1
80,40,2,1,0,12,1,28,3,1,0,20,8.666666667,10,10,0,0,0,0,0,0,0,0,229,11,65,81101,http://www.concordiaexpeditions.com/luckypilot/,0
81,35,3,0,0,6,1,17,3,1,0,9,5,4,4,0,12,1,0,0,0,0,0,17,7,161,-1,http://www.billposas.com/2016/document.php,1
82,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,221,17,216,-1,http://www.jackstackbbq.com/,0
83,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,163,9,149,-1,http://www.coffeefool.com/,0
84,66,9,0,1,0,0,66,6,0,0,17,9.5,0,0,0,0,0,0,0,0,0,0,187,29,488,-1,http://appleid.apple.com-subscriptions.manager8040477235.bertovic.com....,1
85,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,66,6,333,28696,http://www.madridismo.org/,0
86,17,2,0,1,1,0,16,3,0,0,9,4.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.cicr-icrc.ca/,0
87,62,4,0,0,37,6,14,4,6,0,4,2.75,8,5,0,11,1,0,0,0,0,0,-1,-1,-1,-1,http://news.bbc.co.uk/sport1/hi/football/teams/m/man_city/6241052.stm,0
88,23,3,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,7,1,0,0,0,0,0,-1,8,142,44238,http://10215648.2fh.co/Log.php,1
89,66,4,0,0,40,4,10,2,4,0,7,4.5,13,8.75,0,16,3,1,0,0,0,0,-1,-1,-1,-1,http://dekanas.eu/delivery/ussaa/www_usaa_come/inetlogon/servelet_usaa...,1
90,45,4,0,0,19,3,16,4,3,0,4,3.25,8,5,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.grc.nasa.gov/WWW/K-12/airplane/nseqs.html,0
91,35,3,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,13,1,0,0,0,0,0,165,63,303,10023,http://www.broadwayworld.com/photogame.cfm,0
92,66,4,1,0,31,4,16,2,4,0,12,7.5,9,6.5,0,19,3,0,0,0,0,0,33,3,1011,-1,http://lakepineoral.com/junk/Account/update/documents/4c2374a223ff8bd4...,1
93,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,167,1,341,-1,http://www.indiagazette.com/,0
94,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,196,8,537,447310,http://www.surplusglobal.com/,0
95,38,3,0,0,5,1,24,3,1,0,17,7.333333333,3,3,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://chilipepperindian.com.au/log/index.htm,1
97,29,2,0,0,13,4,16,3,4,0,8,4.666666667,2,2,0,0,0,0,0,0,0,0,17,7,136,-1,http://www.bayanone.net/aa/22/33/44/,1
98,26,3,0,1,1,0,25,4,0,0,8,5.5,0,0,0,0,0,0,0,0,0,0,237,3,317,94089,http://tea-room.stores.yahoo.net/,0
100,66,7,1,0,3,1,19,2,1,0,15,9,1,1,0,44,6,0,0,0,0,0,41,43,614,-1,http://phalconwellness.com/2/online.wellsfargo.secure.userrstore894398...,1
101,33,3,0,0,6,1,17,3,1,0,10,5,4,4,1,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.teutoburgo.tk/java/otp4u.html,0
102,21,3,0,0,1,0,20,4,0,0,10,4.25,0,0,0,0,0,0,0,0,0,0,202,14,344,-1,http://www.realcoffee.co.uk/,0
103,44,4,0,0,23,3,18,2,3,0,14,8.5,11,6.333333333,0,3,3,0,0,0,0,0,9,3,217,-1,http://spiritualbeatz.com/wp-includes/pomo/page/...,1
104,31,1,0,0,11,2,16,2,2,0,12,7.5,4,4,0,4,0,0,0,0,0,0,92,4,483,-1,http://librarylions.com/aall/aall/X1z0,1
105,31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,188,16,1009,75007,http://www.americanlibraryinparis.org/,0
107,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,220,20,510,-1,http://www.hailcotton.com/,0
109,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,192,60,289,-1,http://www.portwine.com/,0
112,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,228,12,81,-1,http://www.buztronics.com/,0
113,35,2,0,0,17,3,18,3,3,0,10,5.333333333,6,4.333333333,0,0,0,0,0,0,0,0,7,5,198,-1,http://www.emalbosaat.com/system/logs/aol/,1
114,16,3,0,0,1,0,15,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.nlm.nih.gov/,0
115,66,5,0,1,35,5,14,2,5,0,11,6.5,8,5.8,0,9,1,0,8,1,0,0,53,7,-1,-1,http://forest-camp.ru/wp-admin/network/uxc/Auto/newpage/index.php?;ema...,1
116,24,2,0,0,1,0,13,2,0,0,9,6,0,0,0,10,1,0,0,0,0,0,37,11,972,92821,http://handasapc.com/htd12.html,1
117,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,236,16,663,-1,http://www.russellstover.com/,0
118,25,2,0,0,7,1,18,3,1,0,8,5.333333333,5,5,0,0,0,0,0,0,0,0,2,10,56,-1,http://bearo.rareneos.com/poski/,1
119,45,3,0,1,10,1,14,3,1,0,7,4,8,8,0,8,1,0,13,1,9,0,-1,-1,-1,14167,http://www.harry-b.de/dokuwiki/doku.php?id=harry:cpm,0
120,25,2,0,0,14,2,11,3,2,0,4,3,8,5.5,0,0,0,0,0,0,0,0,-1,-1,-1,10587,http://www.emis.de/projects/JFM/,0
121,60,6,0,0,32,5,16,3,5,0,9,4.666666667,8,5.2,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://diarplast.com.ar/assets/frontend/onepage/img/nD/index.php...,1
122,64,6,0,0,33,4,17,3,4,0,8,5,8,7,0,14,4,0,0,0,0,0,103,5,198,83201,http://www.ournepal.info/joomla/includes/Archive/NATWEST/submit2.php...,1
123,36,2,0,0,25,3,11,3,3,0,3,3,8,7,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.ibm.com/software/awdtools/hlasm/,0
124,26,2,0,0,12,1,14,3,1,0,6,4,10,10,0,0,0,0,0,0,0,0,278,70,655,10011,http://www.forbes.com/private500/,0
125,24,1,0,0,8,1,9,2,1,0,5,4,6,6,0,7,0,0,0,0,0,0,175,5,199,-1,http://jhs82.com/images/dropbox,1
126,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,217,47,13,110029,http://www.ipcs.org/,0
127,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,108,108,20,-1,http://www.bloomsbythebox.com/,0
129,21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,227,13,31,-1,http://www.ladyprimrose.com/,0
130,24,3,0,0,1,0,23,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0,-1,14,-1,-1,http://random.finemedia.com.hk/,1
131,51,6,0,1,25,3,23,3,3,0,15,7,13,7,0,3,3,0,0,0,0,0,-1,8,-1,-1,http://fhdk.simply-winspace.it/postal/fr/manage.compte/...,1
132,24,2,0,1,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,170,10,75,-1,http://www.property-dealer.com/,0
133,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,180,0,370,400059,http://www.seagullcooling.com/,0
134,36,3,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,11,1,0,0,0,0,0,248,52,33,-1,http://www.solopublications.com/journal.htm,0
135,17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,127,5,227,-1,http://betsyvintage.com/,0
136,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,232,8,926,-1,http://www.earththerapeutics.com/,0
138,28,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,6,0,0,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Google,0
139,33,4,0,0,9,1,17,4,1,0,5,3.5,7,7,0,7,1,0,0,0,0,0,-1,-1,-1,-1,http://www.cis.upenn.edu/~giorgi/cl.html,0
140,23,2,0,0,1,0,14,2,0,0,11,6.5,0,0,0,8,1,0,0,0,0,0,-1,-1,-1,-1,http://batesrealty.ca/logs.inf,1
141,19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,94,2,300,-1,http://www.barcaforum.com/,0
142,13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,257,7,164,58188,http://www.saab.com/,0
143,44,7,0,0,25,2,16,3,2,0,8,4.666666667,14,11,0,3,3,0,0,0,0,0,11,1,2,0,http://www.irastrum.com/wp-admin/mail.yahoo.com/...,1
144,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,237,15,380,-1,http://www.alhansen.com/,0
145,28,2,0,0,1,0,27,3,0,0,14,8.333333333,0,0,0,0,0,0,0,0,0,0,192,11,45,94043,http://realmadridzone.blogspot.com/,0
146,19,3,0,0,1,0,11,3,0,0,5,3,0,0,0,7,1,0,0,0,0,0,73,22,46,-1,http://lcham.co.uk/rss.php,1
148,20,3,0,0,1,0,19,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,171,9,122,-1,http://www.rbsmentor.co.uk/,0
149,31,2,0,0,12,1,19,3,1,0,12,5.666666667,10,10,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://qualyprintbh.com.br/formulario/,1
150,27,2,1,1,1,0,23,3,0,0,12,7,0,0,0,3,0,0,0,0,0,0,-1,-1,-1,-1,http://chase-update.square7.ch/jxh,1
151,37,2,1,1,12,2,14,2,2,0,10,6.5,5,4.5,0,11,1,0,0,0,0,0,24,0,668,-1,http://shape-love.org/azziu/line/verify.html,1
152,21,3,0,0,1,0,20,4,0,0,9,4.25,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.natmuseum.org.cy/,0
153,31,1,0,0,15,2,16,2,2,0,12,7.5,6,6,0,0,0,0,0,0,0,0,17,7,166,26000,http://slavkomrdalj.com/images/dallas/,1
154,23,1,0,0,6,1,17,2,1,0,13,8,4,4,0,0,0,0,0,0,0,0,25,11,18,54000,http://sardariqbalco.com/mail/,1
156,66,6,1,0,28,3,25,4,3,0,14,5.5,10,8,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,1
157,66,5,0,0,22,3,20,2,3,0,16,9.5,10,6,0,9,1,0,15,1,10,0,22,2,482,-1,http://cfandfibroliving.com/wp-content/plugins/s/index.php?wps=W9mKPl0...,1
158,26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,196,8,129,98108,http://www.choiceorganicteas.com/,0
159,66,5,0,0,12,3,27,3,3,0,19,8.333333333,3,2.666666667,0,27,3,1,0,0,0,0,26,10,46,700013,http://www.dankunimunicipality.com/web/us/log/USAA%20_%20Welcome%20to%...,1
161,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,218,58,448,110015,http://www.palmohan.com/,0
163,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,210,6,60,-1,http://www.wineglobe.com/,0
164,24,3,0,0,1,0,23,4,0,0,13,5,0,0,0,0,0,0,0,0,0,0,191,1,733,-1,http://www.memorialcards.co.uk/,0
165,20,3,0,0,1,0,19,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,-1,18,-1,382010,http://agri.gujarat.gov.in/,0
167,66,5,1,0,22,3,26,2,3,0,22,12.5,10,6,0,9,1,0,9,1,0,0,5,7,61,-1,http://desksupportmanagements.com/up/signin/N2MAA5ED86/login.php?count...,1
169,20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,228,23,279,-1,http://www.marketwatch.com/,0
170,53,8,1,0,6,1,44,6,1,0,13,6.5,4,4,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://secur.wellsfarg0.update.alfatatuagens.com.br/Usaa/...,1
172,21,1,0,0,13,1,8,2,1,0,5,3.5,11,11,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://sound.jp/strangelove/,0
173,48,5,0,0,23,3,13,2,3,0,10,6,9,6.333333333,0,12,4,0,0,0,0,0,184,-1,139,-1,http://realitherm.fr/images/bannieres/club/index.php...,1
174,17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,207,9,1138,-1,http://www.fameyang.com/,0
175,30,4,0,0,6,1,14,4,1,1,3,2.75,4,4,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://188.212.103.34/winx/index.html,1
176,21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,202,38,129,-1,http://chocolatecandies.net/,0
177,59,4,0,0,38,2,18,2,2,0,14,8.5,32,17.5,0,3,3,0,0,0,0,0,13,11,8,10400,http://srilankanenews.com/css/2a566dd5b6ea4dd80282a90161e7da2d/...,1
178,22,2,0,0,6,1,16,3,1,0,8,4.666666667,4,4,0,0,0,0,0,0,0,0,142,2,54,-1,http://www.19online.net/math/,0
179,66,5,0,0,34,5,24,3,5,0,17,7.333333333,10,5.6,0,8,3,0,0,0,0,0,-1,-1,-1,-1,http://higginsinsulation.com.au/downloader/Maged/Model/Config/fr/freem...,1
180,23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,143,61,1712,-1,http://www.thunderbolttea.com/,0
181,66,6,0,1,18,1,19,3,1,0,11,5.666666667,16,16,0,12,1,0,17,2,0,0,144,12,368,-1,http://www.process-max.com/opasdio89ghh3gfw/cofirmuk.php?personal-UK&a...,1
182,47,4,0,0,27,3,17,2,3,0,13,8,11,7.666666667,0,3,3,0,0,0,0,0,4,8,134,0,http://gtavdescargar.com/wp-includes/rest-api/Usaa/...,1
183,49,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,27,0,4,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/ICC_Cricket_Code_of_Conduct,0
185,51,5,0,0,31,3,17,3,3,0,9,5,17,9,0,3,3,0,0,0,0,0,55,5,209,-1,http://www.expertsip.com/uapower/Document-Shared68/doc/...,1
186,21,3,0,0,1,0,20,4,0,0,10,4.25,0,0,0,0,0,0,0,0,0,0,-1,18,172,-1,http://www.theatrenet.co.uk/,0
187,54,6,1,0,14,2,27,3,2,0,20,8.333333333,8,5.5,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://roseiradevistaalegre.com.br/sin/Outloook/login.html...,1
188,22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,123,9,81,12054,http://www.poetrytomusic.com/,0
189,47,3,0,0,16,2,15,3,2,0,8,4.333333333,7,6.5,0,16,1,1,0,0,0,0,-1,-1,-1,-1,http://ai.stanford.edu/~suresh/theory/theory-home.html,0
190,34,2,0,0,15,3,19,3,3,0,12,5.666666667,6,3.666666667,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://stampamoveis.com.br/js/lib/dropbx/,1
192,18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,152,28,284,310012,http://www.huaouchem.com/,0
